"","Site","Number_subpop","Number_reproduce","Area"
"1","1",15,9,126
"2","2",17,0,71.85
"3","3",35,0,236
"4","5",12,1,170
"5","7",24,0,89
"6","8",12,0,161
"7","9",10,0,93
"8","16",7,0,17
"9","17",7,0,33
"10","20",6,0,42
"11","21",17,0,119
"12","22",2,0,6
"13","23",1,0,6
"14","24",8,0,118
"15","25",8,4,137
"16","26",18,0,103
"17","27",6,0,56
"18","28",1,0,20
"19","38",6,0,25
"20","44",1,0,13
"21","46",26,55,473
"22","48",11,0,117
"23","49",3,0,14
"24","50",40,1,394
"25","51",19,2,148
"26","52",5,0,26
"27","53",12,0,60
"28","54",4,0,15
"29","55",2,0,6
