"","Site","MAT","summer_temp_mean","summer_sm_mean","gs_length","gs_max","gs_max95","gs_mean","temp_var","max","max95","min","min95","range","range95","daily_range"
"1",1,7.42416623909697,17.1965236454745,84.0203554016267,285,31.5,28,12.6277890466531,8.34224093972577,28,28,-14,-14,42,42,13.2857142857143
"2",2,6.50877587758776,17.2151113013699,87.2677748815712,237,33.5,30.5,11.1552678571429,8.49570027900084,39.5,39.5,-18.5,-18.5,58,58,17.0727272727273
"3",3,6.14629213483146,16.7623509369676,82.7288863590857,234,31,28,11.5042418772563,8.42262078065644,31,31,-16.5,-16.5,47.5,47.5,14.6696428571429
"4",4,7.04990103135743,16.870036101083,82.4437356317025,279,30.5,27.5,12.2885760257442,8.24813115688285,31,31,-17,-17,48,48,13.0241935483871
"5",5,6.4015832023355,16.6644010195412,90.1035274867051,242,32,28.5,11.4026379729261,8.26763908069323,32,32,-14.5,-14.5,46.5,46.5,14.0446428571429
"6",7,6.56425180831826,17.3456010452962,74.4553352007705,237,32,28.5,11.9180634807418,8.55222183663582,32,32,-14,-14,46,46,13.7636363636364
"7",8,5.69335279586795,16.2113423959218,79.0651615214208,211,32.5,28.5,11.8345894486315,8.28312109329723,32.5,32.5,-13,-13,45.5,45.5,12.9454545454545
"8",9,6.22931866651701,16.6126431904964,90.2620805318105,243,32,27.5,11.2098744194048,8.47359534396291,32,32,-17.5,-17.5,49.5,49.5,16.3214285714286
"9",10,7.08060967944689,17.1594856379426,84.460867132241,290,34.5,30,11.9676054170514,8.55388845925679,30,30,-19,-19,49,49,16.6451612903226
"10",11,6.13672271752624,16.531182330013,82.1038467708786,242,33.5,29,11.0716013128347,8.34198193295017,33.5,33.5,-18,-18,51.5,51.5,16.125
"11",12,5.11267134737546,17.0657181571816,96.0063851400377,137,32,29.5,12.0198412698413,9.02771956759684,32,32,-18,-18,50,50,13.8783783783784
"12",13,5.66348006521417,18.2262872628726,NA,156,34.5,30.5,12.5576148267526,9.27562569329083,34.5,34.5,-15.5,-15.5,50,50,12.7380952380952
"13",14,6.28124296329656,16.8523605150215,81.5557577315849,235,31.5,28.5,11.5922926308295,8.45094389507307,36.5,36.5,-15,-15,51.5,51.5,14.2678571428571
"14",15,5.94106378183457,16.6627906976744,98.2311709164475,235,31.5,28,11.2900178253119,8.5702640294083,31.5,31.5,-18.5,-18.5,50,50,14.8363636363636
"15",16,6.93603326498063,18.2722371967655,91.8983483560854,240,34,30.5,12.0551174202594,8.67807320808071,34,34,-15,-15,49,49,15.462962962963
"16",17,7.74028822055138,17.4618055555556,95.3159041394336,292,34,30.5,12.0935979318735,8.14980120675731,36,36,-16,-16,52,52,17.2338709677419
"17",18,8.05782526712759,18.1195724782899,94.1014968748406,296,34,31,12.5891089108911,8.37887671088288,35,35,-18.5,-18.5,53.5,53.5,17.2903225806452
"18",19,5.55040617925156,18.4883474576271,96.2116093898344,187,33.5,30,11.0633221850613,8.38911511534487,33.5,33.5,-17.5,-17.5,51,51,15.6808510638298
"19",20,7.96702373450956,17.8998316498317,97.1373007330429,296,34.5,31,12.4020626317374,8.29082579551037,34.5,34.5,-18,-18,52.5,52.5,16.9758064516129
"20",21,8.23010676873489,17.7609597156398,95.7570819988013,289,32.5,29,12.8671060254925,8.11839030067775,32.5,32.5,-14.5,-14.5,47,47,13.9193548387097
"21",22,5.50940393518519,18.6945652173913,97.0338419175629,166,32.5,29.5,11.3393939393939,8.62987171223739,32.5,32.5,-13.5,-13.5,46,46,13.1511627906977
"22",23,8.45994936708861,18.129551609991,92.4819935955005,290,34,29.5,13.1093818181818,8.2351746947108,34,34,-14.5,-14.5,48.5,48.5,14.7741935483871
"23",24,9.22753770704173,18.0185657596372,86.9545697908793,331,33.5,28.5,13.5934128696535,8.49604583355051,27,27,-16.5,-16.5,43.5,43.5,14.4852941176471
"24",25,8.19796517513667,17.9108538785328,97.6740925361573,293,33.5,29.5,12.6737883567537,8.2120329967512,35,35,-15.5,-15.5,50.5,50.5,15.6803278688525
"25",26,8.1056922921098,17.8816621499548,92.2236177271952,290,32,29.5,12.7248078874873,8.3153818356296,32,32,-18,-18,50,50,15.2177419354839
"26",27,8.35244236823398,18.2248861911988,95.3853993463163,294,33.5,31,12.8687598340724,8.43498440975698,33.5,33.5,-18.5,-18.5,52,52,16.7016129032258
"27",28,7.63478538715518,17.4406062742333,88.1287187930152,272,33.5,30,12.1972604859929,8.08772447734299,33.5,33.5,-17.5,-17.5,51,51,16.3474576271186
"28",29,6.45600254750027,16.7405019170443,95.6989685483391,272,32.5,28.5,11.7861352103454,8.45416621656617,28.5,28.5,-20,-20,48.5,48.5,16.7131147540984
"29",30,6.58212815369999,16.7259500171174,96.0961852687315,270,33,28,11.8661282427802,8.44094251188872,28.5,28.5,-15.5,-15.5,44,44,14.6129032258065
"30",31,6.42629018612521,16.4144283746556,90.4406437430281,254,28.5,26.5,12.2776324965132,8.24995378003306,28.5,28.5,-13.5,-13.5,42,42,11.2213114754098
"31",32,6.57227891156463,16.7951680672269,94.3104246885918,267,30.5,28,12.0476666666667,8.42538986400148,31.5,31.5,-15.5,-15.5,47,47,13.825
"32",33,6.35683969964087,16.6564277588168,92.8957113438983,262,32,28.5,12.0081257728317,8.28134526420999,32,32,-14.5,-14.5,46.5,46.5,13.1229508196721
"33",34,6.3466401922876,16.3752071594299,85.7090693044714,258,31,27.5,11.9306963603124,8.26217543964936,28.5,28.5,-17.5,-17.5,46,46,13.9918032786885
"34",35,6.17210031347962,15.9627236580517,75.0400679845189,252,29.5,26,11.8997596979059,8.03512450607104,28,28,-15,-15,43,43,12.2704918032787
"35",36,7.42816360427696,17.5285621551444,86.7169466366156,273,33,29.5,12.5958041958042,8.51842093409683,33,33,-17.5,-17.5,50.5,50.5,15.0245901639344
"36",38,7.31735751295337,17.3405422853454,82.16744693205,268,31.5,29.5,12.6300094667087,8.41840703680189,31.5,31.5,-15,-15,46.5,46.5,13.9918032786885
"37",39,6.78357339546706,16.6449826989619,88.8592881281292,263,31,27.5,12.0827830967316,8.11716073809083,33.5,33.5,-14.5,-14.5,48,48,13.425
"38",40,6.38167938931298,16.1071072733311,87.0304498189689,249,29,25.5499999999997,12.1071489946726,7.97370515045542,27.5,27.5,-13,-13,40.5,40.5,11.9916666666667
"39",41,6.80615336397827,16.6485099337748,81.4794622104239,260,29.5,27,12.1712765957447,8.20256432659722,33.5,33.5,-12.5,-12.5,46,46,12.7213114754098
"40",42,5.35677267373381,15.7120743034056,82.9105347637303,215,30.5,26.5,10.6249510379945,8.01575808044505,30.5,30.5,-14.5,-14.5,45,45,13.1792452830189
"41",43,8.08760970573051,17.949728694542,NA,284,34.5,29.5,12.6335047759001,8.50730780796903,31,31,-18.5,-18.5,49.5,49.5,16.5833333333333
"42",44,6.8672395273899,16.6709572153735,85.7577841675466,269,30.5,26.5,11.836724647194,8.11776572845276,30.5,30.5,-16,-16,46.5,46.5,13.875
"43",45,6.80512958963283,16.6370014771049,87.6184051478799,268,30.5,26.5,11.7946013289037,8.13986162495309,30.5,30.5,-16.5,-16.5,47,47,12.7377049180328
"44",46,7.06105697945351,16.75276816609,84.3118296272424,275,30,25.5,11.7985871271586,8.15299969243138,30,30,-17.5,-17.5,47.5,47.5,12.7704918032787
"45",47,6.47952103849597,15.853817114094,87.6854157393814,240,32,25,11.4841964285714,7.63455141645993,29.5,29.5,-13.5,-13.5,43,43,11.3839285714286
"46",48,7.24027072758037,16.8546831955923,85.7707977512262,268,30.5,25.5,12.0571223709369,7.95557421726974,30.5,30.5,-15.5,-15.5,46,46,13.3728813559322
"47",49,7.29287868993751,16.8553113553114,88.143234845048,266,31,26.5,11.9640241961159,8.31573970535578,28.5,28.5,-18,-18,46.5,46.5,15.3684210526316
"48",50,7.21884336320956,16.8450354609929,84.3115687813544,271,29.5,25.5,12.0091970569418,7.9632262884667,29.5,29.5,-13.5,-13.5,43,43,12.5333333333333
"49",51,7.21973190348525,17.1729174179589,92.0606320091396,269,34.5,28.5,11.8625363020329,8.25567656875917,38,38,-13.5,-13.5,51.5,51.5,14.375
"50",52,7.26495034542314,16.7778392330383,88.7737689768115,268,34,29,11.7403594771242,7.65608130822818,29.5,29.5,-11.5,-11.5,41,41,13.8916666666667
"51",53,7.309375,16.8704986149584,87.6530992991874,262,31,26,12.3235533159948,7.95345104825639,31,31,-13,-13,44,44,11.6949152542373
"52",54,7.17505296610169,16.9298822714681,88.0103475559748,271,32,27,11.9324748743719,8.18998918508022,32,32,-17,-17,49,49,14.7796610169492
"53",55,7.42242199894236,17.2478470547709,85.6739826453367,253,34.5,28.5,11.9387497899513,8.22746307390497,32,32,-16.5,-16.5,48.5,48.5,15.5916666666667
"54",6,NA,NA,82.0492944895394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
